configuration,feature,mean_abs_shap,rank,abbreviation,family
learning_rate_high,def_mm_slope_2000_2025,0.00016705854795873165,35,CWDs,Climate
learning_rate_high,ssrd_wm2_mean_2000_2025,0.0001534858311060816,36,SRADm,Climate
learning_rate_high,vpd_kpa_slope_2000_2025,0.00015180172340478748,37,VPDs,Climate
learning_rate_high,runoff_mm_slope_2000_2025,0.00013227385352365673,38,RUNs,Hydrology
learning_rate_high,vpd_kpa_mean_2000_2025,0.0001320083683822304,39,VPDm,Climate
learning_rate_high,soil_water_rootzone_mean_2000_2025,0.00013049214612692595,40,SWRm,Hydrology
learning_rate_high,pet_mm_mean_2000_2025,0.00013005291111767292,41,PETm,Climate
learning_rate_high,def_mm_mean_2000_2025,0.00012539375165943056,42,CWDm,Climate
learning_rate_high,tmean_c_mean_2000_2025,0.00012456229887902737,43,TEMPm,Climate
learning_rate_high,soil_water_top_mean_2000_2025,0.00012380610860418528,44,SWTm,Hydrology
learning_rate_high,pet_mm_slope_2000_2025,0.00012025394971715286,45,PETs,Climate
learning_rate_high,tmean_c_slope_2000_2025,0.00011483630078146234,46,TEMPs,Climate
learning_rate_high,pop_log_change_2000_2020_per_year,9.191267599817365e-05,47,POPs,Human activity
learning_rate_high,water_frac_mean_2000_2025,5.6392756960121915e-05,48,WATm,Land cover
learning_rate_high,grass_frac_mean_2000_2025,4.758510476676747e-05,49,GRSm,Land cover
learning_rate_high,hydro_stream_distance_km,4.135364724788815e-05,50,SDIST,Hydrology
learning_rate_high,mcnt2k,2.873318226193078e-05,51,MCNT2,Human activity
learning_rate_high,mining_disturbance_intensity_2000_2025,2.447760198265314e-05,52,MDI,Human activity
learning_rate_high,water_frac_slope_2000_2025,1.672602775215637e-05,53,WATs,Land cover
learning_rate_high,barren_frac_mean_2000_2025,8.543397598259617e-06,54,BARm,Land cover
learning_rate_high,shrub_frac_mean_2000_2025,7.001522135396954e-06,55,SHRm,Land cover
learning_rate_high,barren_frac_slope_2000_2025,2.236194859506213e-06,56,BARs,Land cover
learning_rate_high,shrub_frac_slope_2000_2025,1.1859092410304584e-06,57,SHRs,Land cover
