pair_number,feature_x,feature_y,x,y,predicted_recovery_trend,observed_support_count,interaction_rank,mean_abs_shap_interaction,background_rows,grid_size
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.003284548609929888,-0.00524693401924186,0.022904910147190094,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.003663908382717955,-0.00524693401924186,0.02291249670088291,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004043268155506024,-0.00524693401924186,0.023023860529065132,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004422627928294091,-0.00524693401924186,0.023151684552431107,6,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.004801987701082158,-0.00524693401924186,0.023177096620202065,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.005181347473870225,-0.00524693401924186,0.023306194692850113,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.0055607072466582926,-0.00524693401924186,0.023306407034397125,0,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,0.005940067019446362,-0.00524693401924186,0.023286694660782814,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.009234323892076339,-0.005118111065091264,0.0027051488868892193,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.008854964119288272,-0.005118111065091264,0.0028818054124712944,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.008475604346500205,-0.005118111065091264,0.00314927170984447,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.008096244573712136,-0.005118111065091264,0.0036574325058609247,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.007716884800924069,-0.005118111065091264,0.0042551010847091675,1,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.0073375250281360015,-0.005118111065091264,0.004494739230722189,3,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.006958165255347934,-0.005118111065091264,0.004935171455144882,0,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.006578805482559867,-0.005118111065091264,0.005134437698870897,3,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.006199445709771799,-0.005118111065091264,0.005154783837497234,2,3,0.0002420278615318,1200,41
1,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,-0.005820085936983731,-0.005118111065091264,0.005827882792800665,3,3,0.0002420278615318,1200,41
