hotspot,quantile,regional_slope,hotspot_slope
Xinfeng,0.72,0.028986355364322598,0.028266635090112596
Xinfeng,0.73,0.029258074313402088,0.028632879927754342
Xinfeng,0.74,0.029530571550130797,0.028864551857113802
Xinfeng,0.75,0.0297849774360656,0.0291881207376718
Xinfeng,0.76,0.03007727757096288,0.02947580672800538
Xinfeng,0.77,0.03034927368164059,0.02980467028915876
Xinfeng,0.78,0.03061778388917444,0.030140637829899723
Xinfeng,0.79,0.0309047728776931,0.030487735569477037
Xinfeng,0.8,0.031215925887227002,0.030851374194025942
Xinfeng,0.81,0.031504215002059896,0.03117273688316344
Xinfeng,0.8200000000000001,0.03179789185523986,0.03153527081012724
Xinfeng,0.8300000000000001,0.032137558013200715,0.03185941040515892
Xinfeng,0.84,0.03246759295463554,0.032160103619098594
Xinfeng,0.85,0.03281616047024718,0.03246390074491498
Xinfeng,0.86,0.03312330693006512,0.03284255713224406
Xinfeng,0.87,0.033441847711801496,0.03321463063359255
Xinfeng,0.88,0.03378050416707987,0.03351389065384856
Xinfeng,0.89,0.034124211817979797,0.033893250972032496
Xinfeng,0.9,0.03448943495750426,0.03428818285465234
Xinfeng,0.91,0.034857699573039934,0.034671190530061666
Xinfeng,0.92,0.03527433082461352,0.03501701027154922
Xinfeng,0.93,0.03568927556276313,0.035461974442005106
Xinfeng,0.9400000000000001,0.03615158736705774,0.036025705486535976
Xinfeng,0.9500000000000001,0.03670619577169414,0.036606498062610585
Xinfeng,0.96,0.037265274971723515,0.03723450526595109
Xinfeng,0.97,0.03799507409334177,0.03807951748371119
Xinfeng,0.98,0.03892274126410474,0.03896446660161011
Xinfeng,0.99,0.040217315703630414,0.04065066918730728
Xinfeng,1.0,0.0460663735866546,0.0458999462425708
