stage,year,method,component_a,component_b,correlation,n_records
raw,2012,spearman,ndmi_mean,bsi_mean,-0.9839513531903123,38281
raw,2013,pearson,kndvi_mean,nbr_mean,0.9407711396023372,38281
raw,2013,pearson,kndvi_mean,ndmi_mean,0.901793586746452,38281
raw,2013,pearson,kndvi_mean,bsi_mean,-0.9509516232506077,38281
raw,2013,pearson,nbr_mean,ndmi_mean,0.9824372015841583,38281
raw,2013,pearson,nbr_mean,bsi_mean,-0.9811273594478277,38281
raw,2013,pearson,ndmi_mean,bsi_mean,-0.9857106229550745,38281
raw,2013,spearman,kndvi_mean,nbr_mean,0.9440577942534261,38281
raw,2013,spearman,kndvi_mean,ndmi_mean,0.9128973309396436,38281
raw,2013,spearman,kndvi_mean,bsi_mean,-0.9582777519156939,38281
raw,2013,spearman,nbr_mean,ndmi_mean,0.9893628063573394,38281
raw,2013,spearman,nbr_mean,bsi_mean,-0.9917095579918662,38281
raw,2013,spearman,ndmi_mean,bsi_mean,-0.9864453479629686,38281
raw,2014,pearson,kndvi_mean,nbr_mean,0.943368959592489,38281
raw,2014,pearson,kndvi_mean,ndmi_mean,0.9081673836419902,38281
raw,2014,pearson,kndvi_mean,bsi_mean,-0.9510409744692374,38281
raw,2014,pearson,nbr_mean,ndmi_mean,0.9833811542095173,38281
raw,2014,pearson,nbr_mean,bsi_mean,-0.9822940987096362,38281
raw,2014,pearson,ndmi_mean,bsi_mean,-0.988931452630358,38281
raw,2014,spearman,kndvi_mean,nbr_mean,0.9483382398065517,38281
raw,2014,spearman,kndvi_mean,ndmi_mean,0.9202008321785683,38281
raw,2014,spearman,kndvi_mean,bsi_mean,-0.9603016478254314,38281
raw,2014,spearman,nbr_mean,ndmi_mean,0.9905740283895803,38281
raw,2014,spearman,nbr_mean,bsi_mean,-0.9929900092525301,38281
raw,2014,spearman,ndmi_mean,bsi_mean,-0.9894375363344414,38281
raw,2015,pearson,kndvi_mean,nbr_mean,0.9383012701423145,38281
raw,2015,pearson,kndvi_mean,ndmi_mean,0.8926903883554499,38281
raw,2015,pearson,kndvi_mean,bsi_mean,-0.9448515615650224,38281
raw,2015,pearson,nbr_mean,ndmi_mean,0.9786658851949468,38281
raw,2015,pearson,nbr_mean,bsi_mean,-0.9785830533320354,38281
raw,2015,pearson,ndmi_mean,bsi_mean,-0.9854747799559058,38281
raw,2015,spearman,kndvi_mean,nbr_mean,0.9452248269031356,38281
raw,2015,spearman,kndvi_mean,ndmi_mean,0.9089001471210755,38281
raw,2015,spearman,kndvi_mean,bsi_mean,-0.954755448563924,38281
raw,2015,spearman,nbr_mean,ndmi_mean,0.9861368113527894,38281
raw,2015,spearman,nbr_mean,bsi_mean,-0.9900333660136872,38281
raw,2015,spearman,ndmi_mean,bsi_mean,-0.9867524094862943,38281
raw,2016,pearson,kndvi_mean,nbr_mean,0.9354391627843355,38281
raw,2016,pearson,kndvi_mean,ndmi_mean,0.8881133745301161,38281
raw,2016,pearson,kndvi_mean,bsi_mean,-0.9454814899075834,38281
raw,2016,pearson,nbr_mean,ndmi_mean,0.979939075723162,38281
