stage,year,component,n,mean,median,q25,q75
scaled_ECI_components,2001,bsi_mean,38281,0.5009583703171245,0.5293248868006543,0.3301572477746991,0.6819766943744554
scaled_ECI_components,2002,kndvi_mean,38281,0.48326321388357296,0.48467404942605263,0.2898955226235482,0.6866147523924236
scaled_ECI_components,2002,nbr_mean,38281,0.5694980789747733,0.6056305248164152,0.39342982195571774,0.7658857694248157
scaled_ECI_components,2002,ndmi_mean,38281,0.48841521706530555,0.5095447250077854,0.3101669330930398,0.6763604528773317
scaled_ECI_components,2002,bsi_mean,38281,0.4751076758875512,0.49186722695127183,0.28622903927944443,0.6695678170007486
scaled_ECI_components,2003,kndvi_mean,38281,0.43565932955058406,0.45371865845014425,0.2292622849783713,0.6475272646943833
scaled_ECI_components,2003,nbr_mean,38281,0.5376450470095804,0.5971370590326873,0.3215939417775754,0.7716703028394295
scaled_ECI_components,2003,ndmi_mean,38281,0.4506657721968879,0.49224707366454074,0.22996647421497218,0.6705979201335349
scaled_ECI_components,2003,bsi_mean,38281,0.4420808648620473,0.47743277616205204,0.2202190818172084,0.6624896732083188
scaled_ECI_components,2004,kndvi_mean,38281,0.41550677241363404,0.4202330780391504,0.2037459891847156,0.6279924791431328
scaled_ECI_components,2004,nbr_mean,38281,0.5087524323514534,0.5503991506324571,0.2712515002300242,0.7561164538908198
scaled_ECI_components,2004,ndmi_mean,38281,0.4376639831454891,0.46013803556858984,0.20450888737357525,0.6667572627517044
scaled_ECI_components,2004,bsi_mean,38281,0.4232228614707611,0.43984721832922946,0.18972718247411535,0.6509562707625329
scaled_ECI_components,2005,kndvi_mean,38281,0.5049761227926796,0.5188502006097111,0.31861823492345726,0.7017316504350176
scaled_ECI_components,2005,nbr_mean,38281,0.5932634832928192,0.6233085023222105,0.42798844892515875,0.7789023737637527
scaled_ECI_components,2005,ndmi_mean,38281,0.5186573777755912,0.5362260771318301,0.36280509545379636,0.6866616209829306
scaled_ECI_components,2005,bsi_mean,38281,0.5011636704846795,0.516938999905932,0.3280224428001446,0.6836694068159692
scaled_ECI_components,2006,kndvi_mean,38281,0.5413925521780202,0.5685971706293389,0.345943668628749,0.7434676831853014
scaled_ECI_components,2006,nbr_mean,38281,0.6157139164992811,0.6669740578802978,0.4282566510430446,0.8201624765381429
scaled_ECI_components,2006,ndmi_mean,38281,0.5433364533852597,0.5802337612362526,0.35808568989365935,0.7372787810648452
scaled_ECI_components,2006,bsi_mean,38281,0.5355469414165492,0.5708839745674601,0.3359729891095803,0.7395576397873433
scaled_ECI_components,2007,kndvi_mean,38281,0.501044654971281,0.5261546612347906,0.31486401479037357,0.6963441050356007
scaled_ECI_components,2007,nbr_mean,38281,0.5903694327022533,0.6397585063448843,0.40347110028854094,0.7943335777235968
scaled_ECI_components,2007,ndmi_mean,38281,0.5105698986178341,0.5468272918137873,0.3243440961890402,0.7022644977988175
