year,component,n,n_missing,lower_clipped,upper_clipped,lower_fraction,upper_fraction,raw_median
2015,bsi_mean,38281,0,481,352,0.012564980016196024,0.009195162090854471,-0.2108634552322969
2016,kndvi_mean,38281,0,510,852,0.013322535983908467,0.022256471879000025,0.4736059261697075
2016,nbr_mean,38281,0,658,284,0.01718868368119955,0.007418823959666676,0.5568604257698818
2016,ndmi_mean,38281,0,559,301,0.01460254434314673,0.007862908492463624,0.2539822057365506
2016,bsi_mean,38281,0,311,533,0.008124134688226535,0.013923356234163162,-0.1963118607856685
2017,kndvi_mean,38281,0,513,1886,0.013400903842637339,0.04926726052088504,0.4883886578464478
2017,nbr_mean,38281,0,600,1762,0.015673571745774665,0.046028055693424934,0.5898986755071786
2017,ndmi_mean,38281,0,407,1558,0.010631906167550482,0.04069904129986155,0.2880528563685889
2017,bsi_mean,38281,0,1772,410,0.04628928188918785,0.010710274026279356,-0.2272290821778254
2018,kndvi_mean,38281,0,599,1176,0.015647449126198375,0.030720200621718347,0.4734992974977508
2018,nbr_mean,38281,0,706,1136,0.018442569420861525,0.029675295838666703,0.5771031889758442
2018,ndmi_mean,38281,0,481,1266,0.012564980016196024,0.03307123638358454,0.280651548142121
2018,bsi_mean,38281,0,1323,566,0.034560225699433136,0.014785402680180769,-0.2154740052280088
2019,kndvi_mean,38281,0,614,1573,0.016039288419842743,0.041090880593505914,0.4894433690950611
2019,nbr_mean,38281,0,697,1804,0.018207465844674905,0.04712520571562916,0.593696024367922
2019,ndmi_mean,38281,0,453,2003,0.011833546668059873,0.05232360701131109,0.2921972591042931
2019,bsi_mean,38281,0,1931,510,0.050442778401818135,0.013322535983908467,-0.2290118506269153
2020,kndvi_mean,38281,0,646,407,0.016875212246284056,0.010631906167550482,0.4631857049001132
2020,nbr_mean,38281,0,721,861,0.018834408714505892,0.022491575455186645,0.5754650314313984
2020,ndmi_mean,38281,0,416,934,0.010867009743737102,0.0243985266842559,0.277650125669534
2020,bsi_mean,38281,0,773,457,0.020192784932473028,0.011938037146365037,-0.2121011543094678
2021,kndvi_mean,38281,0,691,347,0.018050730127217158,0.009064548992973015,0.4758775474072159
2021,nbr_mean,38281,0,1020,1128,0.026645071967816934,0.029466314882056373,0.5767991822313928
2021,ndmi_mean,38281,0,946,1219,0.02471199811917139,0.031843473263498866,0.2713505688131569
2021,bsi_mean,38281,0,1079,827,0.02818630652281811,0.02160340638959275,-0.2121902888398158
2022,kndvi_mean,38281,0,572,2893,0.014942138397638515,0.07557273843421018,0.5052093815641323
2022,nbr_mean,38281,0,633,3910,0.01653561819179227,0.10213944254329824,0.6099816123150265
2022,ndmi_mean,38281,0,387,4126,0.01010945377602466,0.10778192837177712,0.3076628433877708
2022,bsi_mean,38281,0,4052,418,0.10584885452313159,0.010919254982889684,-0.2459440998938078
2023,kndvi_mean,38281,0,634,288,0.016561740811368564,0.00752331443797184,0.4771722498822773
2023,nbr_mean,38281,0,833,622,0.021760142107050497,0.01624826937645307,0.5768843073390651
2023,ndmi_mean,38281,0,571,1035,0.014916015778062224,0.0270369112614613,0.2795365795218142
2023,bsi_mean,38281,0,849,507,0.022178104020271153,0.013244168125179593,-0.218536001478151
2024,kndvi_mean,38281,0,478,3008,0.012486612157467152,0.07857683968548367,0.5158322426147564
2024,nbr_mean,38281,0,603,2089,0.01575193960450354,0.05457015229487213,0.6043815720563799
2024,ndmi_mean,38281,0,347,2403,0.009064548992973015,0.06277265484182754,0.3050027539652512
2024,bsi_mean,38281,0,2710,348,0.07079229905174891,0.009090671612549306,-0.2478370526883316
2025,kndvi_mean,38281,0,565,1571,0.014759280060604478,0.041038635354353335,0.4924972440825044
2025,nbr_mean,38281,0,835,1398,0.021812387346203076,0.03651942216765497,0.5876879213857924
2025,ndmi_mean,38281,0,628,1785,0.016405005093910817,0.046628875943679635,0.2879829412033453
2025,bsi_mean,38281,0,1759,576,0.045949687834696065,0.01504662887594368,-0.2277073086265063
