replicate,ok,n,unique_blocks,iterations
825,True,38188,155,36
826,True,36182,152,41
827,True,38079,147,42
828,True,39866,141,37
829,True,38916,144,40
830,True,36673,142,38
831,True,37735,145,50
832,True,38611,151,38
833,True,37155,154,42
834,True,38578,147,43
835,True,35759,150,35
836,True,37339,152,40
837,True,37858,155,41
838,True,43042,155,36
839,True,35162,144,38
840,True,36115,148,36
841,True,37751,152,38
842,True,40134,149,41
843,True,41324,146,40
844,True,37382,148,36
845,True,38466,148,44
846,True,41225,150,37
847,True,36022,154,37
848,True,37234,145,35
849,True,38348,149,39
850,True,42142,144,37
851,True,38551,150,38
852,True,37649,146,44
853,True,39874,138,35
854,True,41622,153,36
855,True,37795,151,42
856,True,38292,140,40
857,True,36179,153,36
858,True,39923,156,38
859,True,38550,147,46
860,True,38483,149,43
861,True,40912,154,37
862,True,37114,147,44
863,True,38322,155,35
864,True,39528,154,42
865,True,40716,144,34
866,True,37716,153,37
867,True,40391,144,38
868,True,39280,150,38
869,True,36618,152,38
870,True,37806,154,32
871,True,37505,150,40
872,True,40143,158,42
873,True,38168,141,36
874,True,41008,153,50
875,True,41035,151,38
876,True,37182,147,36
877,True,37786,150,37
878,True,38934,151,38
879,True,39850,155,40
880,True,39468,150,44
881,True,41378,141,38
882,True,36185,159,36
883,True,37716,152,44
884,True,36588,162,43
885,True,37414,152,37
886,True,38687,152,37
887,True,37817,147,41
888,True,39832,151,42
889,True,38354,153,43
890,True,40996,149,37
891,True,39275,149,38
892,True,37069,150,38
893,True,38328,152,40
894,True,38962,148,41
895,True,39434,146,40
896,True,35544,152,33
897,True,42131,148,37
898,True,36399,142,41
899,True,35300,146,43
900,True,38860,147,38
901,True,37975,144,46
902,True,38950,149,41
903,True,40933,157,38
904,True,39361,152,38
905,True,38400,151,40
906,True,37430,151,39
907,True,40004,147,37
908,True,38259,145,34
909,True,37399,149,36
910,True,38184,146,40
911,True,39466,151,36
912,True,38690,156,37
913,True,39368,151,42
914,True,40443,145,40
915,True,39764,141,35
916,True,39239,151,38
917,True,41084,146,39
918,True,39392,143,36
919,True,38766,153,43
920,True,41040,156,37
921,True,38292,153,41
922,True,36926,146,37
923,True,37559,159,41
924,True,36758,151,39
925,True,37324,150,38
926,True,38411,151,41
927,True,37627,142,37
928,True,35609,145,40
929,True,36172,151,40
930,True,39182,153,45
931,True,40171,147,39
932,True,40395,148,38
933,True,38002,139,38
934,True,36607,147,38
935,True,39127,158,35
